waveform	[0]		[1]		[2]		[3]	
t0	2015-03-12  09:46:10,650132		2015-03-12  09:46:10,650132		2015-03-12  09:38:16,929437		2015-03-12  09:38:16,929437	
delta t	8,000000E-8		8,000000E-8		0,000100		0,000100	

time[0]	Y[0]	time[1]	Y[1]	time[2]	Y[2]	time[3]	Y[3]
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-1,484716E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-1,484716E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-1,484716E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-2,324384E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-2,324384E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-3,164052E-3
2015-03-12  09:54:04,305256	-4,957279E-1	2015-03-12  09:54:04,305256	-3,164052E-3
2015-03-12  09:54:04,305256	-4,873194E-1	2015-03-12  09:54:04,305256	-2,324384E-3
2015-03-12  09:54:04,305256	-4,873194E-1	2015-03-12  09:54:04,305256	-2,324384E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-1,484716E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-2,324384E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-2,324384E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-2,324384E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,873194E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305257	-4,957279E-1	2015-03-12  09:54:04,305257	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-3,164052E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
2015-03-12  09:54:04,305258	-4,957279E-1	2015-03-12  09:54:04,305258	-4,003720E-3
